,z
0,-9.85792
1,1.9292886
2,3.2442195
3,-2.9068198
4,7.4066687
5,1.2534455
6,6.3034353
7,1.0818713
8,2.1126287
9,-5.2108746
10,5.221322
11,-1.5851692
12,1.0014266
13,-1.4011114
14,-0.25120312
15,-5.46833
16,-2.098517
17,0.35756317
18,-2.0737622
19,0.16939981
20,-1.318574
21,2.9192777
22,4.2950497
23,1.8291649
24,4.925515
25,3.322026
26,-3.0356717
27,-3.2013347
28,3.105799
29,-0.9827016
30,-2.7394502
31,0.43688875
32,-5.2790475
33,4.365541
34,7.3578463
35,1.6101257
36,-5.6989527
37,4.5572867
38,0.09713524
39,-4.8507433
40,6.066398
41,6.582194
42,-2.1971366
43,0.049513746
44,-3.7768004
45,5.4270153
46,-4.013783
47,3.6505337
48,7.5723596
49,2.5988417
50,3.4844317
51,-0.08945531
