,z
0,3.1947536
1,7.075506
2,-4.501301
3,-4.709701
4,0.03220283
5,1.534864
6,0.23120041
7,-1.9632287
8,5.3685265
9,1.477202
10,6.4685936
11,5.046609
12,-2.7299767
13,-1.0202109
14,-0.057084464
15,1.7016153
16,3.8368888
17,-1.2169696
18,-8.438884
19,1.2700819
20,1.0853775
21,2.705578
22,-4.144759
23,2.2996764
24,-4.844798
25,3.097026
26,-4.555697
27,-1.4346411
28,-0.19927576
29,3.468562
30,5.8512597
31,1.8322709
32,3.7520573
33,-2.365481
34,-0.5207965
35,5.4412274
36,1.3566285
37,0.60405403
38,-1.2508043
39,1.3063054
40,-4.4014344
41,-3.404576
42,1.000214
43,-0.14184257
44,0.7564797
45,-4.792229
46,-8.376651
47,-0.7989369
48,2.1649208
49,4.8759575
50,-1.6302828
51,-2.4605818
52,4.758879
53,4.3709784
54,0.38827372
55,-3.3239288
