,z
0,-9.854593
1,-4.006662
2,0.049727455
3,6.063786
4,-2.1057441
5,3.244904
6,1.8295392
7,1.336805
8,1.0846666
9,-4.8438077
10,5.4114623
11,2.9176292
12,-2.1975005
13,2.1120417
14,-0.29067022
15,5.2244935
16,3.1045582
17,2.6157503
18,-4.8600807
19,-2.9071257
20,-1.4008986
21,7.402053
22,4.5651827
23,-5.2772136
24,4.291215
25,-3.03797
26,-9.859005
27,0.35666314
28,-1.319927
29,6.585157
30,-1.587526
31,-2.7184052
32,0.09544356
33,6.3034554
34,-3.203256
35,-0.9819876
36,-5.4684496
37,1.0006466
38,-3.7860115
39,4.361925
40,3.5008152
41,0.16950509
42,-5.7001147
43,1.2587751
44,4.9283423
45,-2.0808766
46,1.9276625
47,1.2543064
48,-2.5076597
49,-0.24782923
50,-5.2046556
51,-0.089863256
52,3.3199117
53,0.43012723
54,1.5953124
