,z
0,6.542206
1,4.8115344
2,6.6028066
3,1.5931963
4,7.653332
5,2.918659
6,3.1898656
7,-2.3711026
8,5.9056263
9,2.9215748
10,6.0002837
11,6.3198314
12,8.360569
13,-2.795912
14,-1.7534326
15,-3.3877344
16,-3.1746614
17,-5.0148144
18,-0.6190339
19,-9.936558
20,-2.9145796
21,-0.59335726
22,1.4657496
23,-0.6726939
24,1.503821
25,-3.8242924
26,0.058670152
27,-7.4615464
28,5.7107
29,1.4520255
30,1.2693303
31,-0.50866437
32,-3.3930953
33,5.4892344
34,-1.3523414
35,-7.0353446
36,-4.5479774
37,1.0709262
38,2.7729
39,6.5232854
40,3.071626
41,2.599502
42,3.5726388
43,0.5229846
44,1.3905126
45,2.9661655
46,-0.611857
47,-1.3004317
48,0.56554747
49,-1.4946413
