z,pt,dzErr
4.1864552,0.67077065,0.06474071
-3.0949545,0.6621492,0.030518578
-9.867737,1.4446405,0.012674153
-5.2265553,1.0371264,0.007413224
1.2512263,0.747202,0.0070989938
0.9945434,1.4243999,0.006118327
-0.27682337,0.84083676,0.067803465
0.35976505,0.5293836,0.011093266
1.3418665,0.54854393,0.11388788
7.316177,1.2092563,0.027644178
1.2226524,0.5328139,0.22720861
-0.23962219,0.72801334,0.009168782
3.2399971,0.8947397,0.008215799
0.2241544,0.5314579,0.17543793
-3.1454213,0.69194347,0.1942477
3.1115046,0.75703394,0.08857308
-4.933174,0.77975696,0.16357566
-0.25068006,0.67731124,0.05826467
-2.9112177,0.55709136,0.03557381
6.347248,3.1272829,0.020951629
0.7874065,0.83780426,0.16517423
4.90856,0.66560686,0.19097212
6.382816,0.531854,0.17505774
0.26328394,0.56651497,0.17160283
6.076986,1.859443,0.070687786
5.973639,0.93946916,0.123255774
-1.3148121,1.279419,0.059995376
0.38690463,3.3859258,0.020645777
3.3214974,0.6943428,0.10803218
2.9330676,2.816322,0.034747873
7.2207103,0.7370931,0.113436215
7.208424,1.5189209,0.062484194
1.050789,1.0023075,0.071579225
-4.905874,0.9096603,0.10404564
0.37395728,0.86343557,0.08387195
6.357761,1.3704997,0.055124033
-1.1972786,0.86508757,0.08397706
1.3628939,0.6289175,0.1370431
7.770745,0.5385011,0.13391699
-2.9232917,0.793017,0.12766193
1.1129378,0.5456311,0.13626152
1.316133,2.2932298,0.032008115
1.2162343,0.947293,0.07335391
2.0810266,0.8482206,0.09067414
-1.3370205,0.6461015,0.10372603
-3.1027071,0.5861973,0.12451074
2.1245744,1.767439,0.052078437
0.06267534,0.58970356,0.10931848
7.4120426,0.61241156,0.09279586
1.6974155,0.72842216,0.08296894
-1.2322367,0.7884678,0.07243751
-5.560295,2.2193375,0.042140193
-2.9911485,0.86349326,0.08237559
7.478829,0.59097505,0.083844066
-5.5132084,0.6528838,0.14734358
0.9287983,0.6629372,0.08866524
-2.8643527,1.4871111,0.03697497
-0.016029552,0.62170887,0.09014814
-1.4211771,0.5117854,0.103597134
1.2654454,1.0129211,0.059896093
-3.097939,0.7839745,0.06616011
7.3542542,0.992943,0.06803981
-3.1706972,1.1376753,0.043626897
7.2820315,1.5324934,0.030346876
1.9417225,1.5521296,0.024104327
-2.883505,0.71231735,0.054017253
6.0436196,0.72482055,0.058785975
0.30544212,0.83389866,0.056296304
7.4312534,1.634955,0.02756365
3.2324932,0.5493762,0.081124045
2.8967006,0.8131491,0.08301191
-5.4760265,0.85042006,0.045196977
-2.042661,0.8291172,0.04592124
1.7691027,0.9679845,0.040227838
3.4135814,0.64341956,0.06502592
6.5753284,0.5590771,0.08894803
-2.2160406,0.64645666,0.0576528
-4.781151,0.5794467,0.09184739
4.946417,1.0242574,0.042220574
1.2395892,1.3892263,0.02782018
-2.8639903,1.2192011,0.043250035
3.6298378,0.7415767,0.07302237
0.11400204,0.57381356,0.046785142
2.049374,0.76728344,0.04221558
7.41513,0.7158446,0.047370907
-2.079921,0.81707627,0.039689828
3.309739,0.8163645,0.03560711
-2.0766647,1.1618618,0.022897352
3.2287076,0.6926166,0.036715265
4.910517,0.87660456,0.034634195
-5.190486,1.1398848,0.02714138
1.1921275,0.7949723,0.048673075
1.243471,2.4683714,0.013435157
0.97466743,0.7107129,0.041528873
-2.91992,4.838955,0.007294856
3.2294617,0.78491235,0.040581733
3.0741804,0.6645798,0.04758877
2.0931826,0.7487573,0.051435962
0.17712173,0.7704149,0.039169278
-2.906197,1.8182361,0.020135617
-3.0023155,2.095314,0.023561971
-5.5212793,0.5396829,0.041456714
-9.8348465,1.5386151,0.016058546
-9.840531,1.0118856,0.03581079
-2.8379831,0.87307054,0.032553427
-3.0067837,1.1901869,0.016088864
-2.0753555,0.6050924,0.0463889
-1.3168068,1.5507765,0.016540589
-1.2871621,0.9945954,0.0240816
1.4221016,0.56312686,0.045505214
-3.7907453,0.6686553,0.03975361
2.0070462,0.6837572,0.03462324
2.0861928,0.908062,0.021284018
6.249978,0.508234,0.043311626
-2.106506,0.68392843,0.033994175
-9.865447,1.9904449,0.009489773
3.1971369,0.5633394,0.042721897
3.323023,0.5421931,0.030653482
-3.1791172,0.9258706,0.019540537
-0.97296077,0.8494794,0.024479985
4.9359674,0.5928092,0.021023754
-0.96588254,0.5013618,0.022385761
6.3272376,0.8160364,0.015854767
6.3114886,0.81755424,0.016788132
-3.198331,0.64936835,0.025099391
6.5900183,0.50350857,0.027750688
-9.621602,4.714824,0.0070772413
7.3942924,0.6066198,0.019680418
3.2928636,0.8071376,0.019485896
-2.0406613,0.5800607,0.02478552
-3.0308945,1.0597867,0.009784494
0.095475316,0.6600018,0.01776067
3.2571929,0.57387924,0.024112873
1.9266696,2.7354562,0.0054452484
0.35681942,1.5022638,0.0076212473
5.2363677,0.51208276,0.023545204
0.36938468,0.5271387,0.020828426
-3.195031,1.2541229,0.0082297
-2.8959064,0.7259156,0.017829606
3.2505283,0.7412577,0.014272317
1.2852695,0.7220089,0.012890496
6.0569806,0.6681993,0.012885482
