z,pt,dzErr
0.7279105,0.58062464,0.1262368
-6.128379,0.89364135,0.047532488
-2.1311924,0.53984696,0.08339699
-0.24733059,0.70670795,0.04546742
0.16763847,0.9067884,0.020883761
1.7000334,0.7563723,0.009876308
1.3072549,0.97342014,0.0074269953
0.950809,0.999887,0.0071499725
1.582238,1.024539,0.01790974
1.3260481,1.0432851,0.018688291
-1.8244785,0.90788054,0.025892515
-0.23158494,1.1268362,0.024219707
-0.6384499,1.5566221,0.47292376
0.19713025,1.6072525,0.006183058
-0.54300195,0.8950596,0.010458288
1.7055393,1.2994856,0.029441375
-0.16903582,2.2380867,0.026112353
-0.21903867,1.2616895,0.3159852
2.572191,0.5774098,2.5023034
1.8693061,0.68782175,0.18008763
4.3322644,1.936219,0.005959605
-0.14534467,0.7451519,0.02910036
1.2586309,1.3798189,0.014875968
0.99359494,0.72431636,0.02102296
-0.09191462,0.7254977,0.029812174
3.1620922,1.1276741,0.08593137
3.0197315,0.8596499,0.11702899
2.8897069,0.78435624,0.15947436
2.3487313,0.9740982,0.047797386
-0.12476161,0.56799024,0.26497456
3.4130008,0.52062356,0.026891675
-6.434418,0.78451097,0.020749275
0.9370405,0.5173015,0.05242071
2.0402555,0.9709006,0.10411317
-0.19854179,1.5267316,0.06507527
3.3587868,0.738352,0.09632046
2.3741465,0.9264366,0.091370486
1.0755671,0.6308298,0.11068821
2.2319233,0.97909415,0.098659076
3.1787868,1.5585563,0.04624704
1.1353911,1.0292307,0.08839279
5.530316,1.095123,0.08220584
5.6802983,0.5192243,0.16234693
2.3794966,1.4749377,0.052129604
-0.38772726,0.7836912,0.10997694
2.3373604,0.7975903,0.10139525
-0.91532713,0.76664805,0.1113447
1.1730115,0.8305867,0.09260681
-0.34113097,0.82453257,0.20718642
-0.40666866,1.101575,0.11188572
0.72712976,0.81521416,0.104208805
4.226495,1.9304461,0.041949715
0.18440211,0.60642815,0.124947794
-1.6620253,0.5743346,0.12500215
-0.3038428,0.83128417,0.13858314
3.1108148,1.1371077,0.07280785
-0.28105155,0.6666441,0.12215705
2.97995,0.83442414,0.119598545
5.703216,1.1923078,0.06281559
-1.6404508,0.50374866,0.21734902
-6.4353566,1.362727,0.05378078
2.397149,0.62638,0.074980766
-0.6193803,0.82237303,0.063404046
-0.102660626,0.86433077,0.070433654
1.2626255,0.99089557,0.045686226
2.3013535,0.9111103,0.06525067
2.696471,0.9648543,0.050366353
-2.023748,0.96186537,0.053910844
3.0075688,0.6546887,0.09388452
-1.411467,0.7764128,0.06727224
-2.9161065,0.5773785,0.10523262
0.8942232,0.58816475,0.07805708
0.9195343,1.5163932,0.031450797
-6.9980965,0.6453715,0.11296546
1.627596,1.7601187,0.03390319
-2.7466886,0.6213492,0.09671605
2.562057,1.4704618,0.03906513
2.058072,0.6593059,0.07395854
0.24607626,0.5019533,0.10687415
-1.8382119,0.8068963,0.077032335
-0.113022834,0.5738668,0.09482962
-1.0972961,1.7400736,0.02746163
1.6216265,1.8546865,0.028878171
-0.20373082,1.2008802,0.039161302
-3.1507409,0.79657507,0.06006945
5.564443,1.0047078,0.059321254
1.526259,0.821024,0.058117572
5.567696,0.92577994,0.05105534
0.4903573,0.82697064,0.050828435
-0.376272,0.53012335,0.06832576
3.7801552,0.7849063,0.05396828
2.4376125,0.71588624,0.054899964
4.3676744,0.95153195,0.04796887
-0.19587728,0.90278125,0.062685356
-2.7784905,1.1403576,0.040104866
1.1649238,0.7239083,0.06124414
2.3831117,1.6759487,0.02827899
0.7833102,0.5030012,0.0693448
-0.11400996,0.5880791,0.058480963
2.9792788,1.1570649,0.030445838
-0.5723923,0.5818607,0.051403347
-6.986993,1.1398985,0.0258033
-0.5456116,0.6307277,0.044024017
4.983973,0.58241063,0.055021986
-1.8242067,0.7540846,0.046257332
2.3768513,2.6528318,0.01134443
-0.48289162,0.5824158,0.058658496
-7.009678,0.5390967,0.06256
0.3921725,1.5616443,0.01856622
0.072917625,0.59604925,0.05647886
2.4051068,1.5086266,0.022855125
5.698435,1.1921508,0.030082146
0.9148176,0.68036443,0.044820562
-0.3496749,0.75546205,0.038972184
-7.125371,0.9967695,0.028997941
4.859473,0.5295673,0.06089633
-7.074885,0.6937193,0.041437555
-0.15288429,1.0414388,0.025082493
2.343269,1.1855737,0.022561254
2.3992052,0.6977113,0.047845148
-0.3853714,0.81834614,0.041699372
-1.4288459,0.6194844,0.049308345
-7.0321546,1.727642,0.0140412245
-1.6945977,0.5650765,0.044853102
-2.1123466,0.9280934,0.027346859
0.22599198,0.78543645,0.029716294
-1.1322334,1.4702299,0.017174719
-0.12804398,0.795239,0.028047737
2.4101787,0.92014784,0.027559996
1.4941671,1.0442469,0.025452206
1.5821712,2.1181862,0.0116938725
-1.6955483,0.7266383,0.031751208
-1.8086492,1.5225308,0.015724162
-1.8074808,0.5863354,0.03602966
-1.4299718,1.6249593,0.015982557
1.1952147,0.67607474,0.039061658
-0.6499305,0.65759844,0.032581512
-0.53410846,0.68206924,0.028244805
2.9510443,0.8532457,0.026063194
2.3554122,1.1994687,0.014595682
-0.54019505,1.22774,0.013666554
-0.3694112,1.9794903,0.008891406
-1.8330076,0.54365593,0.029762225
-1.809768,0.5905219,0.026509542
-0.09684112,2.0966427,0.009826291
-1.4191568,0.95337486,0.01804377
-2.1215005,0.7160678,0.025650807
-0.1754642,2.9537277,0.008116955
2.3372734,0.7172844,0.017915264
2.4224277,1.4515901,0.01236257
2.3799458,1.8109003,0.008296328
2.988456,0.7180099,0.025825778
-7.051453,0.78122,0.015761316
-2.1666136,0.8487267,0.018017204
2.3253963,2.7659893,0.0064526275
2.3968966,2.5200107,0.0073749167
-7.042452,1.169329,0.012144219
-0.5325219,1.524346,0.009163317
-0.20758553,0.7405676,0.0167333
0.7068141,0.54223996,0.016534759
2.4070306,1.5408614,0.008412437
2.3905349,1.5639018,0.008253042
1.3378927,1.1129504,0.011793414
4.9074526,0.53936595,0.016410569
2.9545338,0.75684285,0.01235445
2.2878745,1.2183005,0.011594718
1.2349832,0.5056937,0.02004246
4.3525615,0.6500911,0.014991114
2.3296442,1.6329734,0.0068244482
4.3814425,2.667726,0.0060523287
2.3581567,0.57833993,0.019167045
-1.8292716,0.79291356,0.014293846
2.3855102,0.9549156,0.012754909
2.318841,0.5167853,0.02076497
-0.16737235,0.5437444,0.01812355
2.3408647,1.2756395,0.008514499
0.51799333,0.66407865,0.014210242
1.7006204,1.2105927,0.008157551
4.3341837,0.6323369,0.014524522
2.3376982,0.5659967,0.016952896
-0.54807866,0.5374654,0.014694069
0.18978558,0.8882106,0.010492739
2.9469943,0.75502527,0.01787357
-1.6563033,1.2905761,0.01075351
2.386058,0.691724,0.012469368
-1.4139856,0.7216908,0.015716674
2.3493426,3.3903682,0.0041218065
-0.113880046,0.50470567,0.014501044
1.267534,0.8947488,0.009686941
1.7057078,0.77421314,0.011782364
5.774613,1.0916492,0.010302145
4.329599,0.69625765,0.011456202
2.382911,1.6380247,0.008400771
-6.4919014,1.5565966,0.0059149824
-0.18052194,1.6214389,0.0059861606
4.3405485,1.7248764,0.006253094
4.3253226,1.7492994,0.005765002
4.303977,3.8894644,0.0037635246
4.2049394,0.9859699,0.009961426
4.383675,1.4960359,0.009007335
4.321784,0.89436764,0.00902016
1.2247102,0.7310819,0.0141876405
2.3852077,1.6408283,0.008994371
5.567653,7.6786833,0.005249618
2.3436582,0.86781824,0.0077585783
0.53388697,0.74671704,0.009687057
2.3855472,0.5772176,0.01140298
4.345041,0.64336807,0.012582572
2.4101686,0.5846449,0.011031144
4.325675,2.521595,0.0056080758
-0.5371327,0.648687,0.011226896
5.536814,0.51497066,0.012366106
4.905133,0.5580248,0.014664962
-1.1145755,0.65176284,0.011421405
-0.539877,0.8705335,0.0083450815
1.2275927,0.61283803,0.011972196
-7.027784,0.7157302,0.011179889
-3.2784986,1.0455068,0.008580549
-2.7837162,0.7390785,0.012291938
-2.7882183,1.0135661,0.0072361156
4.336171,1.2362083,0.006812911
0.92497236,0.71084803,0.0124886725
-0.4102116,0.6929179,0.016084757
4.308906,12.183005,0.002356447
4.3375554,18.563604,0.0018176163
4.3764324,3.061878,0.0039177295
-6.4829626,0.9742376,0.006596317
5.778386,0.5222291,0.013017803
5.0655513,1.3440678,0.0060047973
-2.782374,0.65753835,0.009329247
2.346591,1.1116519,0.0076232883
-0.51615417,0.54872453,0.011026637
-2.1213849,1.0114582,0.00650454
0.19703431,0.7228868,0.009601114
2.3814476,5.0092535,0.0027428283
1.2086926,0.94736075,0.01020939
3.414523,0.61044264,0.01029107
-0.4074365,1.225808,0.0071055978
-1.8215588,0.9345866,0.0104489485
-0.17770231,2.4606612,0.004738481
2.3285882,0.6048343,0.010941929
-0.17978887,2.2631807,0.0045596333
-3.2413354,0.54235095,0.0111037465
0.19179682,0.6456979,0.0092786355
1.7073613,0.78822786,0.009069253
-1.1168377,0.7700871,0.007284568
-0.7801021,0.5344988,0.027360525
-0.66379505,0.5750619,0.010122138
-1.8132856,0.52536064,0.010781434
1.2217532,1.7166141,0.004065288
2.330095,0.6488915,0.00822086
-0.5532876,1.1788902,0.007663672
-0.070599206,0.61583656,0.010713182
4.3318906,4.6002183,0.0032843591
4.3613863,28.7449,0.0024661277
-1.6821266,3.8514705,0.003688215
4.3351107,4.4835,0.0036365096
-7.0440726,1.7116832,0.003960361
5.071958,0.9121063,0.013017459
-0.14984913,0.5490854,0.011622063
-0.1824714,0.9200082,0.007646084
0.248195,0.82689166,0.010788064
-2.776901,0.785849,0.0087995045
2.0905826,0.5886021,0.012913133
-0.53678846,1.6603762,0.006101772
-3.2367096,0.7800945,0.008976376
2.3751884,0.69039464,0.009451254
-2.1145444,1.5340955,0.007898713
-2.7815616,1.2895279,0.006795075
3.3041394,0.570851,0.012308066
-2.004451,2.046174,0.0048914314
9.403411,0.5023749,0.012024579
-1.1158708,1.2081457,0.0066746864
-1.8342868,0.723848,0.011128235
1.2302544,1.3412856,0.0067601665
-0.54185176,1.7611847,0.006393723
2.3436787,0.51117176,0.013057762
1.6119239,0.7934958,0.008308032
2.3288305,0.74401057,0.009810371
-0.5319456,1.3263313,0.006710007
4.355299,1.1894267,0.007407162
4.3399997,2.1082928,0.0054498557
4.328511,2.069355,0.0049992227
2.2093503,0.975975,0.008035045
2.9500844,0.55382216,0.010789481
2.3461266,0.93690497,0.006113476
1.46373,0.77052313,0.009540878
1.2203408,0.92462826,0.008029113
-2.7753356,1.6189436,0.006050213
2.3390214,0.5048514,0.011207805
4.9136014,1.0974808,0.01081209
1.6925751,1.0090629,0.0077954675
4.9119024,3.138832,0.004761417
-6.4833593,0.8258662,0.009009293
-7.039411,2.0110242,0.003806202
4.0941834,0.5209776,0.012211342
4.3353596,2.0745974,0.0048438828
4.9141164,2.411223,0.0050908504
0.4890663,1.1738551,0.0057140295
-0.5337507,0.8724739,0.006922563
-2.0078344,2.5409155,0.0036295643
-0.5377943,0.84477776,0.006568605
-4.9583306,0.66738033,0.009918458
-0.5327114,0.78939104,0.008172742
4.3234973,6.947434,0.003296256
2.3826535,0.60615754,0.011639276
2.3907151,1.3940388,0.0062147933
2.9571633,2.086687,0.0035961482
-1.054322,1.3508916,0.011721946
1.2520379,0.5078413,0.012266308
-0.5404296,0.5435803,0.010126325
0.5294028,1.2337872,0.0063062767
-1.1139722,1.8438632,0.0038533143
2.324739,1.2778751,0.0057157706
5.7826304,0.81678826,0.00910738
4.3337975,0.58270836,0.009499649
4.334219,7.1601167,0.0026845662
4.335044,3.9620483,0.0028488454
0.20464787,0.5826332,0.011634079
-0.18392049,1.7785649,0.0046873675
0.9583365,0.7186849,0.009628026
4.3309937,4.818606,0.0032153935
-2.7950838,0.5651683,0.012148589
-0.20084359,1.4724381,0.007178991
-0.5369451,1.3831066,0.007629355
2.3302963,2.334871,0.0045232982
-6.4878497,1.456737,0.0049952227
-0.5309408,0.5474453,0.011183321
2.3380094,0.9526974,0.0074327695
4.90316,0.5919438,0.01111292
-7.0417747,2.194752,0.004792904
0.5393956,3.7261717,0.0037411705
4.340143,1.9057484,0.009919523
5.0690527,1.1217135,0.0074148406
5.769295,0.98327166,0.008258132
-0.17198922,0.6511393,0.01338783
2.382238,2.8328183,0.0038025272
0.9495388,0.8827408,0.008328268
-1.6879288,0.6159728,0.012986712
1.1989948,1.0456058,0.007432379
0.54097724,1.9301957,0.0048856554
-0.16829756,0.9226244,0.01052008
-0.8926586,0.68977904,0.0106368065
-0.3799104,1.3964604,0.0056841276
2.3740792,2.2511797,0.008183204
-0.049093597,1.2978629,0.006322713
1.2758865,0.57515657,0.010777358
5.070235,0.8483216,0.008958481
-0.09710325,1.2560705,0.008912767
0.21202998,0.50261074,0.013828856
6.061287,0.616245,0.011806551
-1.8125609,0.79502,0.0089237625
4.0666437,0.6950157,0.010393771
-2.1174555,0.6586764,0.011985168
-0.37193543,0.86045784,0.008343627
-0.17779967,0.9628867,0.0074740886
-3.0149236,0.51796705,0.012589076
2.3846326,2.0975435,0.0046937326
0.90266937,0.7801145,0.011367548
-7.0340147,1.7423996,0.005732945
0.89028555,0.95483,0.007173846
-0.18318343,0.524852,0.014820461
2.3864386,1.5942872,0.0051415185
-2.7772813,1.3399885,0.0063129268
4.2905207,1.0339825,0.007413227
-1.821751,0.5042611,0.018454764
-0.521379,1.1496038,0.008572125
-0.17912485,1.2279494,0.0071466113
-0.18057877,1.3079791,0.0077129058
1.6878369,0.6946358,0.010947372
2.39048,1.977645,0.005382631
2.3828053,2.0928912,0.0056453324
2.3379912,1.1842827,0.0077639325
2.3115926,1.3513473,0.0079077035
-2.7843583,1.8039155,0.006662604
-2.1245859,0.8966881,0.009036423
5.0787964,0.63399357,0.011570801
-7.039145,0.6032406,0.013052866
-0.23954594,0.6277398,0.012389887
2.3196168,1.7191528,0.006649827
2.321353,0.66308534,0.011894979
-6.497654,0.50574416,0.018463453
2.3380134,1.096503,0.009079871
1.695702,0.5201208,0.017567385
2.2988977,0.9794913,0.009020668
-2.7696478,0.83141243,0.016175922
1.5953449,4.744361,0.0039634956
0.1982208,1.331031,0.007794064
-1.1135736,0.7490679,0.011601227
2.9459507,0.778251,0.019076144
1.6004629,0.5539149,0.015352787
